Title,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Horror,Musical,Mystery,Romance,Scifi,Short Film,Thriller,Western,fold
The Gingerbread Man,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
Behind Enemy Lines: Colombia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
The Glass Mountain,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Of Human Bondage,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Build Thy House,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Deep Hearts,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Carnival Capers,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Extremely Loud and Incredibly Close,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2
"Me, Myself and I",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starcrossed,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3
L.A. Story,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Tortilla Flat,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Treasure of the Four Crowns,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Algiers,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Air Mail,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Just Cause,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
Sweet Amerika,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Requiem for a Dream,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Take the Money and Run,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
Rocket Science,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Young Woodley,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
For Love of the Game,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
The Professionals,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Albino Farm,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rock 'n' Roll High School Forever,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3
A Reason to Believe,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Trees,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
My Best Friend's Girl,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Suburban Girl,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Transmorphers,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
Plan for Destruction,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
Fireball Jungle,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Flash,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Guilty Man,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Swingin' on a Rainbow,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Able Edwards,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Bride for Sale,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
The Son of Monte Cristo,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Light in the Forest,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
The Facts of Life Reunion,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gabriel,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Passage,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Theodore Case Sound Test: Gus Visser and his Singing Duck,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
The Double,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
"Jo Jo Dancer, Your Life Is Calling",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
The Chiefs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
The Little Princess,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hot Spell,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Down on Us,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Carhenge: Genius or Junk?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
Benji,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1
Rotten to the Core,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Before the Mask: The Return of Leslie Vernon,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A Child Is Waiting,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
The Lorax,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2
The Nest,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3
Shocktrauma,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Rockshow,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
