Title,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Horror,Musical,Mystery,Romance,Scifi,Short Film,Thriller,Western
Ghosts of Mars,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Getting Away with Murder: The JonBenét Ramsey Mystery,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
White Of The Eye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Sorcerer's Apprentice,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Alexander's Ragtime Band,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
City of the Dead,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sarah and Son,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Little city,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Henry V,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
The Mechanical Monsters,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0
Mary Poppins,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0
Keep the Change,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Devil's Holiday,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
New Rose Hotel,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
Camera Thrills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Middle Age Spread,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Baby Boy,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
They Knew What They Wanted,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Archie: To Riverdale and Back Again,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Woman Hungry,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Troops,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Daddy and Them,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kinjite: Forbidden Subjects,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Hamsun,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Great New Wonderful,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Loverboy,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Cally's Comet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Mesmerized,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Chasing Ghosts: Beyond the Arcade,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bruce Lee: The Lost Interview,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
It Came Upon the Midnight Clear,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
The Human Tornado,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Shivers,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
The Covered Wagon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
The Little Hut,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Drums in the Deep South,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ZA: Zombies Anonymous,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Closing the Ring,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
The Boston Strangler,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
Deadly Voyage,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
The High Cost of Living,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
One Six Right,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Choke Canyon,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Dig That Uranium,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ChromeSkull: Laid to Rest 2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Iron Maiden,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mighty Times: The Children's March,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
The Last Trackers of the Outback,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Alien Express,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
...And Justice for All,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0
Star!,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1 a Minute,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Great Santini,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Great West End Theatres,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A Zed & Two Noughts,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Is There a Doctor in the Mouse?,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Things to Do in Denver When You're Dead,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Convoy,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
The Bridge,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SpongeBob vs. The Big One,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14 Going on 30,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Grand Canary,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
C.H.U.D.,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
Good Morning Miss Dove,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Emperor of the Bronx,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
A Boy Named Sue,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The King of the Kitchen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Insurgents,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Nudist Colony of the Dead,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
The Girl on the Pier,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Valiant Is the Word for Carrie,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Astronaut Farmer,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Straw Dogs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
The Weavers: Wasn't That a Time!,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Critters 3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Cipher in the snow,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
The World According to John Coltrane,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
City Beneath the Sea,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Bone Snatcher,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
No Impact Man: The Documentary,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Enemy Territory,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Grease,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Vanishing on 7th Street,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
House by the River,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Open All Night,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Snow Queen,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Tesha,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Susan and God,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
What Have I Done To Deserve This?,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
The Nut,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Yolanda and the Thief,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Becoming Jane,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
Heidi Fleiss: Hollywood Madam,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
True Heart,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
A Broken Life,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Dark Half,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sinners in the Sun,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fly Away,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
RoboCop 3,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
Carter’s Army,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rogues' Regiment,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gertie the Dinosaur,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Tradition is a Temple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hell Boats,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heart of the Storm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
There It Is,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Burning Down Tomorrow,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Behind the Mask,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Eagle's Wing,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Asylum Seekers,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
Superman,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Boy called Twist,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ken Russell's Fall of the Louse of Usher,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0
